CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
7,0,2,0,0,2,28,317772,9307,9
14,0,4,0,0,3,56,498660,14744,12
21,0,6,0,0,4,84,652289,19364,15
28,0,8,0,0,5,112,812545,24183,18
34,0,9,0,0,6,140,963728,28738,21
41,0,10,0,0,7,168,1107604,33080,24
48,0,11,0,0,8,196,1230498,36808,27
60,0,14,0,0,11,198,1372625,40908,31
755,0,708,1,1,14,204,1372625,40908,40
762,0,710,1,1,15,232,1414062,42155,43
769,0,711,1,1,16,260,1434468,42766,46
774,0,712,1,1,17,288,1493091,44564,47
781,0,713,1,1,19,316,1501568,44817,56
788,0,715,1,1,20,344,1802185,54052,59
800,0,718,1,1,23,346,1841449,55166,65
812,0,721,1,1,26,348,1887400,56481,69
818,0,723,1,1,28,376,2053766,61466,78
823,0,724,1,1,29,404,2119327,63446,81
825,0,726,3,3,32,404,2119327,63446,90
832,0,727,3,3,33,432,2185538,65447,93
839,0,728,3,3,34,460,2320194,69519,96
851,0,731,3,3,37,462,2429823,72551,102
858,0,733,3,3,38,490,2592099,77408,105
870,0,736,3,3,41,492,2753637,81902,107
876,0,738,3,3,42,520,2916768,86737,110
