RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
75,0,0,90,1,0,138,148,34
214,2,0,403,2,0,342,193,52
353,4,0,716,3,0,546,240,73
381,4,0,750,4,0,637,325,93
519,6,0,1063,5,0,842,355,103
657,8,0,1376,6,0,1046,385,113
832,10,0,1857,7,0,1307,421,123
970,12,0,2170,8,0,1511,451,133
1109,14,0,2483,9,0,1715,496,151
1248,16,0,2796,10,0,1920,541,169
1386,18,0,3109,11,0,2125,565,179
1386,18,0,3109,11,0,2125,565,179
1416,18,0,3144,13,0,2218,662,199
1449,18,0,3185,14,0,2292,687,216
1586,20,0,3496,15,0,2487,747,240
1725,22,0,3809,16,0,2692,794,261
